Garment,Close Fit,Semi-Fit,Loose Fit,Oversized
Bodice bust,4-6 cm,6-8 cm,8-12 cm,12-20 cm
Bodice waist,2-4 cm,4-6 cm,6-10 cm,10-16 cm
Skirt hip,2-4 cm,4-6 cm,6-8 cm,8-12 cm
Pants hip,2-4 cm,4-6 cm,6-8 cm,—
Sleeve biceps,2-4 cm,4-6 cm,6-8 cm,8-12 cm
