"Name","Number","Full name","Calculated value (cm)","Formula (cm)"
"shoulder_tip_to_armfold_f","H13","Shoulder Tip to Armfold Front","0","0"
"neck_side_to_bust_f","H14","Neck Side to Bust level, front","0","0"
"neck_side_to_highbust_f","H15","Neck Side to Highbust level, front","0","0"
"shoulder_center_to_highbust_f","H16","Shoulder center to Highbust level, front","0","0"
"shoulder_tip_to_waist_side_b","H17","Shoulder Tip to Waist Side, back","0","0"
"neck_side_to_waist_b","H18","Neck Side to Waist level, back","0","0"
"neck_side_to_waist_scapula_b","H20","Neck Side to Waist level, through Scapula","0","0"
"neck_back_to_highbust_b","H21","Neck Back to Highbust Back","0","0"
"highbust_to_waist_b","H22","Highbust Back to Waist Back","0","(neck_back_to_waist_b - neck_back_to_highbust_b)"
"neck_back_to_bust_b","H23","Neck Back to Bust Back","0","0"
"bust_to_waist_b","H24","Bust Back to Waist Back","0","(neck_back_to_waist_b - neck_back_to_bust_b)"
"lowbust_to_waist_b","H25","Lowbust Back to Waist Back","0","0"
"shoulder_tip_to_armfold_b","H26","Shoulder Tip to Armfold Back","0","0"
"neck_side_to_bust_b","H27","Neck Side to Bust level, back","0","0"
"neck_side_to_highbust_b","H28","Neck Side to Highbust level, back","0","0"
"shoulder_center_to_highbust_b","H29","Shoulder center to Highbust level, back","0","0"
"waist_to_highhip_f","H30","Waist Front to Highhip Front","0","0"
"waist_to_hip_f","H31","Waist Front to Hip Front","0","0"
"waist_to_highhip_side","H32","Waist Side to Highhip Side","0","0"
"waist_to_highhip_b","H33","Waist Back to Highhip Back","0","0"
"waist_to_hip_b","H34","Waist Back to Hip Back","0","0"
"waist_to_hip_side","H35","Waist Side to Hip Side","0","0"
"shoulder_slope_neck_side_angle","H36","Shoulder Slope Angle from Neck Side","0","0"
"shoulder_slope_neck_side_length","H37","Shoulder Slope length from Neck Side","0","0"
"shoulder_slope_neck_back_angle","H38","Shoulder Slope Angle from Neck Back","0","0"
"shoulder_slope_neck_back_height","H39","Shoulder Slope length from Neck Back","0","0"
"shoulder_slope_shoulder_tip_angle","H40","Shoulder Slope Angle from Shoulder Tip","0","0"
"neck_back_to_across_back","H41","Neck Back to Across Back","0","0"
"across_back_to_waist_b","H42","Across Back to Waist back","0","(neck_back_to_waist_b - neck_back_to_across_back)"
"shoulder_tip_to_shoulder_tip_f","I02","Shoulder Tip to Shoulder Tip, front","0","0"
"shoulder_tip_to_shoulder_tip_half_f","I05","Shoulder Tip to Shoulder Tip, front, half","0","(shoulder_tip_to_shoulder_tip_f/2)"
"across_chest_half_f","I06","Across Chest, half","0","(across_chest_f/2)"
"shoulder_tip_to_shoulder_tip_b","I07","Shoulder Tip to Shoulder Tip, back","0","0"
"across_back_b","I08","Across Back","0","0"
"armfold_to_armfold_b","I09","Armfold to Armfold, back","0","0"
"shoulder_tip_to_shoulder_tip_half_b","I10","Shoulder Tip to Shoulder Tip, back, half","0","(shoulder_tip_to_shoulder_tip_b/2)"
"across_back_half_b","I11","Across Back, half","0","(across_back_b/2)"
"neck_front_to_shoulder_tip_f","I12","Neck Front to Shoulder Tip","0","0"
"neck_back_to_shoulder_tip_b","I13","Neck Back to Shoulder Tip","0","0"
"bustpoint_neck_side_to_waist","J06","Bustpoint, Neck Side to Waist level","0","(bustpoint_to_neck_side + bustpoint_to_waist)"
"bustpoint_to_shoulder_tip","J07","Bustpoint to Shoulder Tip","0","0"
"bustpoint_to_waist_front","J08","Bustpoint to Waist Front","0","0"
"bustpoint_to_bustpoint_halter","J09","Bustpoint to Bustpoint Halter","0","0"
"bustpoint_to_shoulder_center","J10","Bustpoint to Shoulder Center","0","0"
"bustpoint_to_neck_front","J11","Bustpoint to Neck Front","0","0"
"shoulder_tip_to_waist_front","K01","Shoulder Tip to Waist Front","0","0"
"neck_front_to_waist_side","K02","Neck Front to Waist Side","0","0"
"neck_side_to_waist_side_f","K03","Neck Side to Waist Side, front","0","0"
"shoulder_tip_to_waist_back","K04","Shoulder Tip to Waist Back","0","0"
"shoulder_tip_to_waist_b_1in_offset","K05","Shoulder Tip to Waist Back, with 1in (2.54cm) offset","0","0"
"neck_back_to_waist_side","K06","Neck Back to Waist Side","0","0"
"neck_side_to_waist_side_b","K07","Neck Side to Waist Side, back","0","0"
"neck_side_to_armfold_f","K08","Neck Side to Armfold Front","0","0"
"neck_side_to_armpit_f","K09","Neck Side to Highbust Side, front","0","0"
"neck_side_to_bust_side_f","K10","Neck Side to Bust Side, front","0","0"
"neck_side_to_armfold_b","K11","Neck Side to Armfold Back","0","0"
"neck_side_to_armpit_b","K12","Neck Side to Highbust Side, back","0","0"
